縣市,鄉鎮市區,門市店名,地址
台北市,北投區,OK北投吉運店,台北市北投區石牌路一段39巷124號1樓
台北市,士林區,OK士林通河店,台北市士林區通河街141巷1號
台北市,文山區,OK文山萬安店,台北市文山區萬美街１段47號1+2樓
台北市,士林區,OK士林芝東店,台北市士林區士東路200巷21號1樓
台北市,信義區,OK台北黎忠店,台北市信義區和平東路３段341巷6號1樓
台北市,內湖區,OK內湖葫洲店,台北市內湖區民權東路六段296巷35號1樓+B1
台北市,信義區,OK台北景聯店,台北市信義區吳興街110號1樓
台北市,信義區,OK信義北城店,台北市信義區莊敬路393號
台北市,內湖區,OK內湖新明店,台北市內湖區新明路316號
台北市,內湖區,OK內湖金龍店,台北市內湖區內湖路三段60巷10弄1號1樓及地下一樓
台北市,南港區,OK南港中研店,台北市南港區研究院路２段230號
台北市,文山區,OK文山新光店,台北市文山區新光路１段97、99號1樓
台北市,大安區,OK台北金華店,台北市大安區金華街241-1號
台北市,大同區,OK大同樹德店,台北市大同區民族西路120、122號1樓
台北市,中正區,OK中正三元店,台北市中正區和平西路２段70巷15弄3號
台北市,文山區,OK文山再興店,台北市文山區興隆路４段55號1樓
台北市,士林區,OK士林天玉店,台北市士林區天母北路89號1樓
台北市,大同區,OK大同圓環店,台北市大同區南京西路258號
台北市,士林區,OK士林海光店,台北市士林區延平北路５段177號1樓
台北市,中山區,OK台北撫順店,台北市中山區撫順街21號
台北市,信義區,OK台北三興店,台北市信義區基隆路２段39巷3號1樓
台北市,北投區,OK北投復興店,台北市北投區復興四路23號1樓+地下室
台北市,中正區,OK台北福和店,台北市中正區羅斯福路３段244巷7-1號
台北市,北投區,OK北投尊賢店,台北市北投區尊賢街221號
台北市,士林區,OK士林和豐店,台北市士林區和豐街39巷2號
台北市,松山區,OK台北錦三店,台北市松山區三民路137號
台北市,松山區,OK松山光復店,台北市松山區光復北路32號1樓
台北市,信義區,OK信義雙和店,台北市信義區吳興街284巷21弄2號
台北市,北投區,OK關渡水鳥店,台北市北投區知行路1號1+2樓
台北市,北投區,OK北投會館門市,台北市北投區大業路527巷88號B1
台北市,北投區,OK北藝大門市,台北市北投區學園路1號
台北市,文山區,OK木柵軍功店,台北市文山區和平東路４段383號1樓
台北市,信義區,OK台北富陽店,台北市信義區富陽街65、67號1樓
台北市,內湖區,OK內湖德明門市,台北市內湖區環山路１段一段56號1樓(四合院B114教室)
台北市,士林區,OK士林基河店,台北市士林區基河路250號
台北市,信義區,OK台北泰和店,台北市信義區吳興街600巷94號1樓
台北市,萬華區,OK台北開封店,台北市萬華區開封街２段80、80之1號1樓
台北市,文山區,OK文山忠順店,台北市文山區興隆路４段72-2號、74巷2號、74巷4號
台北市,士林區,OK士林芝山店,台北市士林區福華路155號
台北市,大安區,OK中華電信門市,台北市大安區愛國東路35號B1樓
台北市,大同區,OK大同運動門市,台北市大同區大龍街51號1樓
台北市,中正區,OK外交部門市,台北市中正區凱達格蘭大道2號B1
台北市,北投區,OK北投康舒門市,台北市北投區中央南路２段18號2樓
台北市,北投區,OK北投致遠店,台北市北投區致遠一路１段91號
台北市,松山區,OK松山富盛店,台北市松山區八德路４段198號1樓
台北市,信義區,OK台北忠孝店,台北市信義區忠孝東路５段725號1樓
台北市,信義區,OK台北松光店,台北市信義區松山路465巷3號1樓
新北市,三重區,OK三重成功店,新北市三重區成功路97號
新北市,板橋區,OK板橋自由店,新北市板橋區自由路34、36號1樓
新北市,中和區,OK中和中山店,新北市中和區中山路２段252號
新北市,蘆洲區,OK蘆洲中山店,新北市蘆洲區中山二路77號
新北市,永和區,OK永和民享店,新北市永和區民享街4號
新北市,淡水區,OK淡水中山店,新北市淡水區中山北路１段102號
新北市,新莊區,OK新莊思源店,新北市新莊區福壽街156號
新北市,新店區,OK新店安康店,新北市新店區安康路２段266號
新北市,新莊區,OK新莊建中店,新北市新莊區建中街28號
新北市,板橋區,OK板橋溪北店,新北市板橋區溪北路51號
新北市,鶯歌區,OK鶯歌永吉店,新北市鶯歌區鶯桃路208號1樓
新北市,瑞芳區,OK三爪子坑店,新北市瑞芳區三爪子坑路125號
新北市,三峽區,OK三峽中福店,新北市三峽區中山路9號1樓
新北市,新莊區,OK新莊昌平店,新北市新莊區昌平街2號
新北市,中和區,OK中和員穗店,新北市中和區員山路468號
新北市,新莊區,OK新莊四維店,新北市新莊區四維路123-1號
新北市,深坑區,OK平埔店,新北市深坑區文化街76號
新北市,三重區,OK三重中北店,新北市三重區中正北路147號
新北市,土城區,OK土城延吉店,新北市土城區延吉街170號
新北市,新莊區,OK新莊龍安店,新北市新莊區四維路215號
新北市,汐止區,OK汐止厚德店,新北市汐止區樟樹一路135巷19、21號1樓
新北市,土城區,OK土城中央店,新北市土城區中央路１段182號
新北市,蘆洲區,OK蘆洲正義店,新北市蘆洲區中原路12巷25號
新北市,新店區,OK新店中興店,新北市新店區檳榔路29巷2、4號一樓
新北市,瑞芳區,OK瑞芳建基店,新北市瑞芳區建基路１段64號1樓
新北市,板橋區,OK板橋華德店,新北市板橋區四川路二段245巷53號
新北市,淡水區,OK下奎柔山店,新北市淡水區淡金路３段333號
新北市,三重區,OK三重中正南店,新北市三重區中正南路117號
新北市,汐止區,OK汐止福德店,新北市汐止區福德一路197號
新北市,萬里區,OK萬里店,新北市萬里區瑪鋉路39號
新北市,新莊區,OK新莊中平店,新北市新莊區中平路10號
新北市,新店區,OK新店三民店,新北市新店區三民路38號
新北市,土城區,OK土城學成店,新北市土城區學成路110號1樓
新北市,鶯歌區,OK鶯歌永和店,新北市鶯歌區永和街126、128號1樓
新北市,鶯歌區,OK鶯歌大湖店,新北市鶯歌區大湖路466號
新北市,新店區,OK新店黎明店,新北市新店區黎明路43/45號
新北市,瑞芳區,OK瑞芳逢甲店,新北市瑞芳區逢甲路198、200號1樓
新北市,瑞芳區,OK傑魚坑店,新北市瑞芳區傑魚坑路55號
新北市,泰山區,OK泰山泰林店,新北市泰山區泰林路２段192號
新北市,汐止區,OK汐止秀峰店,新北市汐止區秀峰路119號
新北市,中和區,OK中和積穗店,新北市中和區員山路396號
新北市,新店區,OK新店中華店,新北市新店區中華路68號
新北市,新莊區,OK新莊民安店,新北市新莊區民安東路127號1樓
新北市,新莊區,OK新莊八德店,新北市新莊區八德街111號
新北市,中和區,OK中和秀峰店,新北市中和區秀峰街117號
新北市,汐止區,OK汐止茄苳店,新北市汐止區茄苳路84、86號1樓
新北市,汐止區,OK汐止明峰店,新北市汐止區明峰街281號
新北市,五股區,OK五股成功店,新北市五股區御成路75、77號1樓
新北市,永和區,OK永和永利店,新北市永和區永利路45號1樓
新北市,淡水區,OK淡水站前店,新北市淡水區中正路11-7號1樓
新北市,板橋區,OK板橋懷仁店,新北市板橋區懷仁街8號
新北市,汐止區,OK汐止社后店,新北市汐止區康寧街61巷48號
新北市,中和區,OK中和廣福店,新北市中和區廣福路30號
新北市,蘆洲區,OK蘆洲溪墘店,新北市蘆洲區中山一路195號1樓
新北市,淡水區,OK竹圍民族店,新北市淡水區民族路51號1樓
新北市,鶯歌區,OK鶯歌永昌店,新北市鶯歌區鶯桃路97之3號1樓
新北市,瑞芳區,OK瑞芳中央店,新北市瑞芳區中央路47號
新北市,中和區,OK中和民利店,新北市中和區民利街12號
新北市,中和區,OK中和烘爐店,新北市中和區興南路２段140號1樓
新北市,鶯歌區,OK鶯歌福安店,新北市鶯歌區鶯桃路388號
新北市,淡水區,OK海院門市,新北市淡水區濱海路３段150號(賜福樓B棟1樓)
新北市,樹林區,OK樹林桃子腳店,新北市樹林區桃子腳路124號1樓
新北市,汐止區,OK汐止大同店,新北市汐止區大同路三段85號
新北市,中和區,OK中和華夏店,新北市中和區華新街143巷11弄2號1樓
新北市,鶯歌區,OK鶯歌新興店,新北市鶯歌區國際一路74.76號
新北市,淡水區,OK竹圍民生店,新北市淡水區民生路119號1樓
新北市,板橋區,OK板橋華僑店,新北市板橋區僑中二街90巷2號1樓
新北市,樹林區,OK樹林億光門市,新北市樹林區中華路6-8號8樓
新北市,汐止區,OK汐止光明店,新北市汐止區大同路二段521號1樓
新北市,三峽區,OK三峽介壽店,新北市三峽區介壽路１段320號
新北市,金山區,OK金山金美店,新北市金山區中山路235號
新北市,瑞芳區,OK瑞芳中正店,新北市瑞芳區東和路1號
新北市,新店區,OK新店建中店,新北市新店區中正路249號
新北市,汐止區,OK汐止新台店,新北市汐止區大同路１段169號1樓
新北市,板橋區,OK板橋新海店,新北市板橋區新海路80號1樓
新北市,樹林區,OK樹林千歲店,新北市樹林區保安二街40號
新北市,新店區,OK新店忠誠店,新北市新店區北新路２段97巷8號1樓
新北市,新店區,OK新店華城門市,新北市新店區華城一路18號1樓
新北市,板橋區,OK板橋華翠店,新北市板橋區縣民大道３段101號
新北市,中和區,OK中和宜安店,新北市中和區宜安路49、51號1樓
新北市,板橋區,OK板橋大華店,新北市板橋區四川路１段170號
新北市,板橋區,OK板橋四川店,新北市板橋區四川路二段128號1樓
新北市,中和區,OK中和信和店,新北市中和區員山路148巷23弄28號1樓
新北市,土城區,OK土城承天店,新北市土城區南天母路10號1樓
新北市,樹林區,OK樹林伯園店,新北市樹林區柑園街二段119／121號1樓
新北市,泰山區,OK泰山楓江店,新北市泰山區楓江路30號1樓
新北市,板橋區,OK板橋廣和店,新北市板橋區廣和街45號1樓
新北市,土城區,OK土城連宇店,新北市土城區自強街11巷2號1樓
新北市,土城區,OK土城延安店,新北市土城區延安街2號1樓
新北市,土城區,OK土城永豐店,新北市土城區永豐路149之2號1樓
新北市,汐止區,OK汐止汐平店,新北市汐止區汐平路１段1號1-3樓
新北市,樹林區,OK樹林中華店,新北市樹林區中華路135號
新北市,板橋區,OK板橋大仁店,新北市板橋區大仁街80號
新北市,中和區,OK中和中和店,新北市中和區中和路163號
新北市,板橋區,OK板橋崑崙店,新北市板橋區大觀路３段160巷34弄1號和36號一樓
新北市,永和區,OK永和四維店,新北市永和區四維街65號1樓
新北市,淡水區,OK漁人碼頭門市,新北市淡水區觀海路201號1樓
新北市,八里區,OK八里龍米店,新北市八里區龍米路１段430號
新北市,土城區,OK土城福安店,新北市土城區福安街72號1樓
新北市,深坑區,OK深坑百合店,新北市深坑區北深路一段38號1樓
新北市,新莊區,OK新莊福華店,新北市新莊區中華路２段208號1樓
新北市,三芝區,OK三芝三民店,新北市三芝區三民街27巷2、4號1樓
新北市,三芝區,OK三芝長勤店,新北市三芝區中山路一段153號
新北市,新店區,OK新店香坡店,新北市新店區安祥路102巷28號
新北市,泰山區,OK泰山貴陽店,新北市泰山區明志路３段357、359號1樓
新北市,八里區,OK八里左岸店,新北市八里區觀海大道37號1、2樓
新北市,汐止區,OK汐止中興店,新北市汐止區大同路１段331、333號1樓
新北市,淡水區,OK淡水康舒門市,新北市淡水區淡金路３段159號
新北市,三重區,OK三重醫院門市,新北市三重區新北大道１段3號前棟2樓
新北市,泰山區,OK泰山貴賢店,新北市泰山區明志路三段135號1樓
新北市,鶯歌區,OK鶯歌中湖店,新北市鶯歌區大湖路26號、28號1樓
新北市,林口區,OK祥茂林口門市,新北市林口區工四路18號B1
新北市,三峽區,OK三峽弘園店,新北市三峽區弘園街43號1樓
新北市,新店區,OK新店達觀店,新北市新店區達觀路6號B1
新北市,新店區,OK新店日興店,新北市新店區安康路３段454號1樓
新北市,永和區,OK永和保福店,新北市永和區仁愛路202巷16號1樓
新北市,汐止區,OK汐止東勢店,新北市汐止區東勢街127號1樓
新北市,土城區,OK土城運動門市,新北市土城區金城路２段247-1號
新北市,瑞芳區,OK瑞芳明燈店,新北市瑞芳區明燈路３段17號一樓
新北市,新莊區,OK新莊青山店,新北市新莊區青山路１段52之1號1樓
新北市,淡水區,OK聖約翰門市,新北市淡水區淡金路４段499號
新北市,新店區,OK新店康橋店,新北市新店區華城路501號
新北市,汐止區,OK汐止江山萬里店,新北市汐止區新台五路２段170號B1
新北市,樹林區,OK樹林文化店,新北市樹林區文化街53號1樓
新北市,淡水區,OK淡水半山匯店,新北市淡水區興福寮77巷135號
新北市,淡水區,OK淡水新市店,新北市淡水區新市三路１段108號1F
新北市,中和區,OK中和景德店,新北市中和區景德街70號
新北市,永和區,OK永和信義店,新北市永和區信義路111號
新北市,板橋區,OK板橋建國店,新北市板橋區建國街53號
新北市,蘆洲區,OK蘆洲保佑店,新北市蘆洲區民族路562號1樓
桃園市,大園區,OK大園三和店,桃園市大園區拔子林9-9號1樓
桃園市,中壢區,OK中壢信義店,桃園市中壢區中北路２段400號
桃園市,中壢區,OK中壢福州店,桃園市中壢區中北路二段350～354號
桃園市,平鎮區,OK平鎮湧光店,桃園市平鎮區湧光路448.450號
桃園市,八德區,OK桃園高城店,桃園市八德區高城路72號
桃園市,大溪區,OK員樹林店,桃園市大溪區員林路2段409、411號1樓
桃園市,桃園區,OK桃園建國店,桃園市桃園區建國路156-9號
桃園市,中壢區,OK中壢華勛店,桃園市中壢區華勛街293號1樓
桃園市,平鎮區,OK平鎮德育店,桃園市平鎮區德育路２段165號1樓
桃園市,中壢區,OK中壢仁愛店,桃園市中壢區新中北路840、842號1樓
桃園市,平鎮區,OK平鎮崇泰店,桃園市平鎮區延平路三段6-1號1樓
桃園市,中壢區,OK中壢復華店,桃園市中壢區復華街50號1樓
桃園市,平鎮區,OK平鎮忠貞店,桃園市平鎮區龍南路349號
桃園市,中壢區,OK中壢興仁店,桃園市中壢區興仁路２段295號、297巷1號1樓
桃園市,楊梅區,OK楊梅永美店,桃園市楊梅區永美路163號
桃園市,大園區,OK桃園果林店,桃園市大園區?林路191-193號
桃園市,中壢區,OK中壢王子店,桃園市中壢區王子街50號
桃園市,中壢區,OK中壢永泰店,桃園市中壢區溪洲街71號一樓
桃園市,大園區,OK大園長榮門市,桃園市大園區航勤北路8-1號3樓
桃園市,中壢區,OK中壢徐州店,桃園市中壢區環中東路２段328號1樓
桃園市,蘆竹區,OK南崁中正店,桃園市蘆竹區中正路203號1樓
桃園市,大溪區,OK大溪得勝店,桃園市大溪區得勝路1號
桃園市,龍潭區,OK龍潭龍元店,桃園市龍潭區龍元路110號
桃園市,八德區,OK大湳和平店,桃園市八德區和平路222號
桃園市,大溪區,OK大溪中華店,桃園市大溪區信義路158號
桃園市,中壢區,OK中壢高商門市,桃園市中壢區中央西路２段141巷100號2、3樓
桃園市,復興區,OK桃園角板山店,桃園市復興區中正路93、95號1樓
桃園市,龜山區,OK龜山憲校門市,桃園市龜山區復興街301號之1
桃園市,中壢區,OK中壢榮學店,桃園市中壢區榮民南路186號1樓、2樓
桃園市,八德區,OK大湳大安店,桃園市八德區和平路530/532號
桃園市,桃園區,OK桃園民族店,桃園市桃園區民族路204號
桃園市,八德區,OK八德瑞豐店,桃園市八德區介壽路二段935號
桃園市,平鎮區,OK平鎮平東店,桃園市平鎮區平東路31-1號
桃園市,中壢區,OK中壢百齡店,桃園市中壢區龍門街137號1樓
桃園市,楊梅區,OK楊梅埔心店,桃園市楊梅區永美路329號
桃園市,中壢區,OK中壢南亞店,桃園市中壢區中山東路３段文化新村9號
桃園市,桃園區,OK桃園正康店,桃園市桃園區正康二街83號
桃園市,龜山區,OK壽山高中門市,桃園市龜山區大同路23號
桃園市,八德區,OK八德大宏店,桃園市八德區桃德路125/123號1樓
桃園市,楊梅區,OK楊梅裕成店,桃園市楊梅區裕成路160-1號1樓
桃園市,龜山區,OK龜山文明店,桃園市龜山區文明路71-2號
桃園市,平鎮區,OK平鎮山峰店,桃園市平鎮區中豐路山頂段373號
桃園市,平鎮區,OK平鎮新榮店,桃園市平鎮區延平路１段199/201號
桃園市,中壢區,OK中壢育樂店,桃園市中壢區中正路257號、康樂路85號1樓
桃園市,龍潭區,OK龍潭佳安店,桃園市龍潭區十一分路215號1樓
桃園市,楊梅區,OK楊梅中華店,桃園市楊梅區秀才路552、554號一樓
桃園市,龍潭區,OK龍潭中央店,桃園市龍潭區中央街138+140號1樓
桃園市,桃園區,OK桃園博愛店,桃園市桃園區博愛路97號1樓
桃園市,大溪區,OK大溪員林店,桃園市大溪區員林路二段414號
桃園市,中壢區,OK中壢清雲店,桃園市中壢區健行路99號
桃園市,龜山區,OK龜山楓樹坑店,桃園市龜山區忠義路１段202號1樓
桃園市,中壢區,OK中壢長華店,桃園市中壢區復華九街71號1樓
桃園市,桃園區,OK桃園法治店,桃園市桃園區法治路2.4號
桃園市,桃園區,OK桃園南華店,桃園市桃園區南華街67號1樓
桃園市,龜山區,OK龜山明基門市,桃園市龜山區建國東路29號2樓
桃園市,桃園區,OK桃園同德店,桃園市桃園區同安街340、342號1樓、338巷1號1樓
桃園市,新屋區,OK新屋東明店,桃園市新屋區中山西路一段572號1樓
桃園市,中壢區,OK中壢利民店,桃園市中壢區利民路1號
桃園市,平鎮區,OK平鎮龍恩店,桃園市平鎮區游泳路120巷1弄2、4號1樓
桃園市,中壢區,OK中壢永福店,桃園市中壢區永福路1042號
桃園市,中壢區,OK中壢吉林店,桃園市中壢區忠孝路479號1樓
桃園市,龜山區,OK龜山山鶯店,桃園市龜山區山鶯路200號
桃園市,楊梅區,OK楊梅新農店,桃園市楊梅區新農街377號1-3樓
桃園市,中壢區,OK中壢中央店,桃園市中壢區中央西路２段148號1樓
桃園市,中壢區,OK中壢金峰店,桃園市中壢區中山東路３段2號
桃園市,平鎮區,OK平鎮環南店,桃園市平鎮區龍南路20、22、24號1樓
桃園市,中壢區,OK中壢雙連店,桃園市中壢區五興路402號1樓
桃園市,平鎮區,OK平鎮壢新店,桃園市平鎮區復旦路２段23巷1號
桃園市,平鎮區,OK平鎮和平店,桃園市平鎮區和平路117號1樓
桃園市,楊梅區,OK楊梅比佛利店,桃園市楊梅區青山二街407號1樓+B1樓
桃園市,龜山區,OK龜山萬壽店,桃園市龜山區萬壽路二段680之2號1樓
桃園市,中壢區,OK中壢文化店,桃園市中壢區文化路336號1樓
桃園市,觀音區,OK觀音信義店,桃園市觀音區信義路77號1樓
桃園市,平鎮區,OK平鎮貿西店,桃園市平鎮區中正五路162號1樓
桃園市,龜山區,OK佳世達門市,桃園市龜山區山鶯路157號2樓
桃園市,中壢區,OK中壢仁勛店,桃園市中壢區華勛街349+351號1樓
桃園市,平鎮區,OK平鎮振金店,桃園市平鎮區金陵路２段24、26號1樓
桃園市,中壢區,OK中壢榮安店,桃園市中壢區環中東路50號
桃園市,大園區,OK大園三民店,桃園市大園區三民路２段95、97號1樓
桃園市,平鎮區,OK平鎮華光店,桃園市平鎮區金陵路三段249號1樓
桃園市,蘆竹區,OK蘆竹山林店,桃園市蘆竹區山林路２段391／393／395號
桃園市,桃園區,OK台表科門市,桃園市桃園區桃鶯路437號B1
桃園市,觀音區,OK觀音草漯店,桃園市觀音區大觀路二段161號1樓
桃園市,中壢區,OK中壢精忠店,桃園市中壢區莊敬路779號
桃園市,大溪區,OK大溪康莊店,桃園市大溪區康莊路30號
桃園市,八德區,OK八德長和店,桃園市八德區和平路670號1樓
桃園市,桃園區,OK桃園埔新店,桃園市桃園區力行路40號1樓
桃園市,桃園區,OK桃園龍祥店,桃園市桃園區龍祥街48號1樓
桃園市,大園區,OK大園遠雄門市,桃園市大園區航翔路101號1樓
桃園市,大園區,OK大園尖山店,桃園市大園區中山南路１段82、84號1樓
桃園市,平鎮區,OK平鎮東安店,桃園市平鎮區平東路138號1樓
桃園市,龜山區,OK龜山貿商店,桃園市龜山區中興路166-5號1樓
桃園市,平鎮區,OK晶技門市,桃園市平鎮區工業六路4號B1樓
桃園市,平鎮區,OK技嘉門市,桃園市平鎮區南平路211號1樓
桃園市,蘆竹區,OK蘆竹海山店,桃園市蘆竹區海山路１段232號1樓
桃園市,大溪區,OK至善高中門市,桃園市大溪區康莊路645號1樓
桃園市,觀音區,OK觀音高中門市,桃園市觀音區中山路２段519號
桃園市,楊梅區,OK楊梅立同店,桃園市楊梅區自立街301號1樓
桃園市,大園區,OK大園新興店,桃園市大園區和平東路2號1樓
桃園市,中壢區,OK中壢月眉店,桃園市中壢區月眉路１段599號1樓
桃園市,龜山區,OK欣興山鶯門市,桃園市龜山區山鶯路175號1樓(電子廠)
桃園市,龍潭區,OK龍潭龍華店,桃園市龍潭區龍華路8號1樓、北龍路126巷3號1樓
桃園市,楊梅區,OK高山頂營區門市,桃園市楊梅區高山里南高山頂10-1號
桃園市,龜山區,OK龜山神準門市,桃園市龜山區復興三路500號B1
桃園市,中壢區,OK中壢元化店,桃園市中壢區元化路２段31、33號1樓
桃園市,平鎮區,OK平鎮金陵店,桃園市平鎮區金陵路２段482號1樓
桃園市,大溪區,OK大溪勝利店,桃園市大溪區康莊路322、324、326號1樓
桃園市,觀音區,OK觀音中興店,桃園市觀音區中興路17、19-1號1樓
桃園市,蘆竹區,OK南崁高中門市,桃園市蘆竹區仁愛路２段１號
桃園市,大園區,OK大園高中門市,桃園市大園區大成路２段8號1樓(大園國際高中)
桃園市,龍潭區,OK龍潭民族店,桃園市龍潭區民族路380、382號1樓
桃園市,中壢區,OK中壢七福店,桃園市中壢區龍東路474、476號1樓
桃園市,八德區,OK永豐高中門市,桃園市八德區永豐路609號
桃園市,桃園區,OK桃園大有店,桃園市桃園區大有路656號1+2樓
桃園市,八德區,OK八德興豐店,桃園市八德區興豐路572、574號
桃園市,楊梅區,OK台鐵埔心門市,桃園市楊梅區永美路208號(埔心站3樓)
桃園市,楊梅區,OK楊梅湖山店,桃園市楊梅區湖山街20號及22號1樓
桃園市,桃園區,OK榮總桃園門市,桃園市桃園區成功路３段100號1樓
桃園市,桃園區,OK英業達桃園門市,桃園市桃園區大智路88號1樓
桃園市,八德區,OK八德桃福店,桃園市八德區桃德路382號
桃園市,中壢區,OK中壢長興店,桃園市中壢區長興街21、23號
桃園市,中壢區,OK中壢中園店,桃園市中壢區中園路38之1號
桃園市,楊梅區,OK楊梅金山店,桃園市楊梅區環東路436號
桃園市,觀音區,OK觀音環科店,桃園市觀音區環科路335號
桃園市,中壢區,OK中壢鎵興門市,桃園市中壢區中華路１段784號一樓
桃園市,桃園區,OK桃園運動門市,桃園市桃園區中山東路233號1樓
桃園市,平鎮區,OK平鎮高中門市,桃園市平鎮區環南路３段100號
