門市店號,門市店名,Y,X,地址
244402              ,18P7,23.120284,120.267006,台南市安定區北園一路1號
202051              ,18廠B,23.116113,120.263396,台南市安定區蘇林里北園二路8號
244099              ,A18,25.013844,121.214621,桃園市中壢區高鐵北路一段5號B1樓
233712              ,AP六,24.708099,120.907958,苗栗縣竹南鎮大埔里科專一路1號
193616              ,F18,23.116543,120.263442,台南市安定區北園二路8號1樓
208200              ,F18B,23.116543,120.263442,台南市安定區北園二路8號1樓
234519              ,GRC,24.776814,121.008266,新竹市東區科園里工業東三路1號1樓
232627              ,P11,24.760104,121.022891,新竹市東區力行四路29號1樓
167020              ,P1廠,23.111607,120.275124,台南市善化區南科北路1之1號1樓
153755              ,P7廠,23.107446,120.267164,台南市善化區南關里三抱竹路1號
244192              ,P8廠,23.110898,120.264596,台南市善化區安順一路5號1樓
233675              ,P8廠北,24.768765,121.00841,新竹縣寶山鄉科環路168號B1樓
241805              ,P8廠南,24.768765,121.00841,新竹縣寶山鄉科環路168號B1樓
183619              ,TBI,25.007526,121.414628,新北市樹林區三多路139號1樓
212416              ,ㄚ樺,23.953429,120.419739,彰化縣二林鎮中央南街48巷12號
253093              ,一中,24.149291,120.685436,台中市北區一中街98號1樓
854557              ,一心,22.99699,120.234382,台南市東區中華東路一段24號
126306              ,一江橋,24.133257,120.735618,台中市太平區東平路1號
174257              ,一級棒,25.030158,121.41313,新北市新莊區新北大道七段482號
110035              ,一勝,24.123212,120.565193,台中市大肚區福山村沙田路一段432-1號
215220              ,一揚,22.854014,120.260952,高雄市路竹區國昌路1號
173793              ,一新,25.004225,121.499155,新北市中和區永和路56號58號1樓
241229              ,一路發,24.264289,120.548269,台中市清水區鰲峰路580號之15號1樓
254878              ,一零一,25.033373,121.565077,台北市信義區信義路五段7號35樓
851721              ,一德,25.12815,121.468456,台北市北投區中央北路四段513號
211413              ,丁煌,25.028461,121.470813,新北市板橋區文化路二段227號、229號1樓
196866              ,七六埔,23.969781,120.537858,彰化縣埔心鄉員埔路1192號
132482              ,七甲,23.226324,120.351122,台南市六甲區六甲里中正路321之1號
126362              ,七老爺,22.59731,120.345957,高雄市鳳山區正義里鳳甲路491號493號
903439              ,七股,23.133718,120.133984,台南市七股區七股里14鄰154-1號
153869              ,七美,23.196126,119.420067,澎湖縣七美鄉南港村南滬50號51號
998080              ,七崁,23.798382,120.45914,雲林縣西螺鎮建興路163號1樓
171007              ,七堵,25.097943,121.714406,基隆市七堵區明德一路174號
210720              ,七堵站,25.093334,121.714537,基隆市七堵區東新街2號1樓
235877              ,七張站,24.975414,121.543246,新北市新店區北新路二段152巷2號
200387              ,七綻,24.174118,120.671986,台中市北屯區文心路四段57號
217112              ,九份,25.109733,121.84521,新北市瑞芳區基山街3號
167569              ,九份子,23.021761,120.185192,台南市安南區國安里九份子大道6號1樓
192602              ,九州,25.065794,121.460582,新北市新莊區五工二路60號62巷1號
215806              ,九曲堂,22.659627,120.42117,高雄市大樹區久堂里城隍巷15-8號及久堂路22-3號
236364              ,九容,24.622361,121.839055,宜蘭縣蘇澳鎮蘇濱路二段251號253號
165817              ,九德,24.109972,120.641468,台中市烏日區九德村中華路43.45.47號1樓
208462              ,二八水,23.809689,120.619309,彰化縣二水鄉員集路三段488號
144360              ,二十張,24.982683,121.540123,新北市新店區二十張路5號1樓
262880              ,二水,23.8114,120.616058,彰化縣二水鄉員集路4段6.8.10號
166751              ,二甲,24.939896,121.336361,新北市鶯歌區中正三路165號167號
131009              ,二竹,23.336429,120.242479,嘉義縣義竹鄉仁里村義竹423號1樓
249153              ,二崙,23.770254,120.413842,雲林縣二崙鄉崙東村中山路一段269號
160029              ,二溪,23.959141,120.471635,彰化縣溪湖鎮二溪路一段369號
138549              ,二橋,24.940923,121.338269,新北市鶯歌區中正三路93號
967086              ,二鎮,23.221034,120.330656,台南市官田區二區里工社西街25巷81號
182904              ,人田,22.651657,120.287659,高雄市鼓山區美術東二路7號
131560              ,八大,23.488714,120.430123,嘉義市西區保福里八德路237號
249599              ,八斗子,25.1396702541301,121.79606757795901,基隆市中正區北寧路327號1樓
183413              ,八仙,25.148937,121.404387,新北市八里區中華路二段290號292號296號
902779              ,八甲,22.974098,120.296015,台南市歸仁區八甲里中正北路一段194號
922474              ,八角店,25.012083,121.27437,桃園市蘆竹區大竹路5號
991458              ,八里,25.147106,121.399459,新北市八里區中山路二段343號1樓
127376              ,八卦寮,22.676837,120.341185,高雄市仁武區大灣里八德南路497號499號1樓
197478              ,八勇,24.962202,121.303747,桃園市八德區忠勇街197號
252300              ,八重,25.06068,121.489891,新北市三重區重新路三段115巷18號
126661              ,八悅,23.890179,121.524612,花蓮縣壽豐鄉平和村中華路二段215號
253392              ,八福,24.957535,121.293269,桃園市八德區福國街76-1號
263492              ,八德,25.043516,121.53089,台北市中正區臨沂街1號1樓
179562              ,八德介壽,24.951945,121.298047,桃園市八德區介壽路二段216號218號1樓
187390              ,八德建國,24.934378,121.287134,桃園市八德區建國路165號
244000              ,八寶,24.992732,121.28591,桃園市桃園區德華街173號
182568              ,力大,22.964892,120.229548,台南市東區生產路508號
182971              ,力成三,24.87066,120.999188,新竹縣湖口鄉大同路15之1號6樓
181819              ,力成玖,24.862256,121.009771,新竹縣湖口鄉文化路4號B1樓
990710              ,力成科,24.870351,121.00024,新竹縣湖口鄉大同路26號6樓
234520              ,力成捌,24.771477,121.022253,新竹市東區力行三路15號6樓
990846              ,力成貳,24.8675933134598,120.998535998983,新竹縣湖口鄉三民路7號B1
