縣市,鄉鎮市區,門市店名,門市店號,地址,緯度,經度
高雄市,左營區,新光門市,81361,高雄市左營區高鐵路123號B2,22.6884719,120.3100475
高雄市,左營區,彩虹門市,81361,高雄市左營區高鐵路115號1樓,22.6877345,120.3094095
高雄市,左營區,高榮門市,81362,高雄市左營區榮總路181號,22.681093,120.321553
高雄市,左營區,裕誠門市,81366,高雄市左營區裕誠路426號1、2樓,22.665888,120.305409
高雄市,仁武區,仁雄門市,81455,高雄市仁武區仁雄路92-1號,22.6769947,120.3434303
高雄市,岡山區,新岡山門市,82042,高雄市岡山區壽天路117號1樓,22.7944149,120.291069
高雄市,路竹區,新路竹門市,82143,高雄市路竹區大社路91號.93號,22.8636587,120.2624937
高雄市,燕巢區,義聯門市,82445,高雄市燕巢區義大路1號B1,22.7659067,120.3643555
高雄市,鳳山區,鳳翔門市,83011,高雄市鳳山區中山路124號1、2樓,22.6232477,120.3576681
高雄市,鳳山區,鳳揚門市,83048,高雄市鳳山區文衡路379號,22.6406688,120.3508529
高雄市,鳳山區,鳳青門市,83053,高雄市鳳山區青年路二段455號1樓,22.6450377,120.3501743
高雄市,鳳山區,五甲門市,83071,高雄市鳳山區五甲二路754號.756號1+2樓,22.5936855,120.3285487
高雄市,鳳山區,鳳甲門市,83075,高雄市鳳山區新富路452號,22.6130427,120.3461813
高雄市,鳳山區,超聯門市,83078,高雄市鳳山區海洋一路33號,22.6098943,120.3425349
高雄市,大寮區,大發門市,83155,高雄市大寮區鳳林三路438號,22.6042995,120.3959738
高雄市,林園區,新林園門市,83248,高雄市林園區東林西路99號、101號,22.5036676,120.3931342
高雄市,鳥松區,本館門市,83316,高雄市鳥松區本館路391之3號,22.654758,120.3367714
屏東縣,屏東市,屏廣門市,90051,屏東縣屏東市廣東路66號1+2樓,22.6712432,120.4991866
屏東縣,屏東市,屏豐門市,90074,屏東縣屏東市中正路72號地下一樓,22.6742434,120.4898241
屏東縣,內埔鄉,內埔門市,91248,屏東縣內埔鄉廣濟路111號1樓,22.611499,120.566139
屏東縣,潮州鎮,潮州門市,92046,屏東縣潮州鎮新生路40號1樓,22.5478909,120.5380679
屏東縣,東港鎮,新東港門市,92843,屏東縣東港鎮中正路135號,22.467661,120.4502173
屏東縣,恆春鎮,墾丁門市,94644,屏東縣恆春鎮墾丁路165號,21.9450971,120.7985971
